category,name,cost,month
ganhos extra,dinheiro léo,1000,2022-08
ganhos extra,PA,500,2022-08
ganhos,salário,2000,2022-08
ganhos,VR,500,2022-08
ganhos,adiantamento,800,2022-09
ganhos extra,PA,500,2022-09
ganhos extra,presente ifood arthu,70,2022-09
ganhos extra,presente lana,130,2022-09
ganhos extra,presente Léo,175,2022-09
ganhos extra,presente vô Gesi,200,2022-09
ganhos extra,receita federal,80.79,2022-09
ganhos,salário,1200,2022-09
ganhos,VR,500,2022-09
ganhos,adiantamento,800,2022-10
ganhos extra,PA,500,2022-10
ganhos,salário,1200,2022-10
ganhos,VR,500,2022-10
ganhos,adiantamento,800,2022-11
ganhos extra,PA,550,2022-11
ganhos extra,reembolso mobly,926.94,2022-11
ganhos,salário,1200,2022-11
ganhos,VR,500,2022-11
ganhos,adiantamento,800,2022-12
ganhos extra,presente natal Léo,500,2022-12
ganhos,salário,1200,2022-12
ganhos,VR,500,2022-12
ganhos,adiantamento,800,2023-01
ganhos extra,aplicação RDB,3.34,2023-01
ganhos extra,PA,500,2023-01
ganhos extra,presente ano novo Léo,100,2023-01
ganhos,salário,1200,2023-01
ganhos,VR,500,2023-01
ganhos,adiantamento,800,2023-02
ganhos extra,extra Léo,50,2023-02
ganhos extra,PA,550,2023-02
ganhos,salário,420.47,2023-02
ganhos,salário,990.67,2023-02
ganhos,VR,500,2023-02
ganhos,adiantamento,1363.84,2023-03
ganhos extra,lollapalooza Léo :),750,2023-03
ganhos,salário,1623.52,2023-03
ganhos,VR,500,2023-03
ganhos extra,13º Mobly (CLT),525.65,2023-04
ganhos extra,presente de formatura Léo,1000,2023-04
ganhos,salário + rescisão,2381.21,2023-04
ganhos,VR,500,2023-04
ganhos extra,presente mop spray Léo,100,2023-05
ganhos,salário,4064.775,2023-05
ganhos,salário,4064.775,2023-06
ganhos extra,bônus Mobly,525,2023-07
ganhos extra,presente Léo,1800,2023-07
ganhos extra,presente Léo,200,2023-07
ganhos,salário,4064.775,2023-07
ganhos,salário,4064.775,2023-08
ganhos extra,13º Mobly (PJ),1354.93,2023-09
ganhos extra,presente de níver (Léo),700,2023-09
ganhos extra,presente de níver (regis e edvar),140,2023-09
ganhos extra,presente de níver (vô Gesi),200,2023-09
ganhos,salário,2210.49,2023-09
ganhos,salário,1233.75,2023-09
ganhos,VR,400,2023-09
ganhos extra,presente Léo,250,2023-10
ganhos extra,presente roger waters (Léo),350,2023-10
ganhos,previdência sicoob,333.33,2023-10
ganhos,salário,4230.03,2023-10
ganhos,VR,2304.33,2023-10
ganhos extra,13º Sicoob (1ª parcela),462.95,2023-11
ganhos extra,juros Léo,50,2023-11
ganhos,previdência sicoob,333.33,2023-11
ganhos,salário,4230.03,2023-11
ganhos,VR,1896.83,2023-11
ganhos extra,13º Sicoob (2ª parcela),737.39,2023-12
ganhos,previdência sicoob,333.33,2023-12
ganhos,salário,4230.03,2023-12
ganhos,VR,1896.83,2023-12
ganhos,VR (cesta de natal),835.99,2023-12
ganhos,extra Léo,50,2024-01
ganhos,previdência sicoob,333.33,2024-01
ganhos,salário,4234.15,2024-01
ganhos,VR,1896.83,2024-01
ganhos extra,bônus Sicoob (ref. out/2023 a fev/2024),1638.39,2024-02
ganhos,previdência sicoob,333.33,2024-02
ganhos,salário,4247.56,2024-02
ganhos,VR,1896.83,2024-02
ganhos,13º Sicoob (proporcional),857.35,2024-03
ganhos extra,bônus Ambev (ref. jan/2023 a dez/2023),5070.31,2024-03
ganhos,férias Sicoob (proporcionais),3705.25,2024-03
ganhos,salário Compass (ref. x dias),1561.43,2024-03
ganhos,salário Sicoob (ref. 8 dias),1238.3,2024-03
ganhos,VR Compass,165,2024-03
ganhos,VR Sicoob,1896.83,2024-03
ganhos,salário,6340.33,2024-04
ganhos,VR,693,2024-04
ganhos extra,juros Léo,300,2024-05
ganhos,salário,6351.48,2024-05
ganhos,VR,693,2024-05
ganhos,salário,6697.71,2024-06
ganhos,VR,660,2024-06
ganhos extra,presente Léo (pra usar na viagem),750,2024-07
ganhos,salário,6809.01,2024-07
ganhos,VR,759,2024-07
ganhos extra,cashback imposto de renda,1406.5,2024-08
ganhos,salário,7787.91,2024-08
ganhos,VR,726,2024-08
ganhos extra,presente níver Léo,500,2024-09
ganhos extra,restituição notal legal,100.26,2024-09
ganhos,salário,8675.75,2024-09
ganhos,VR,693,2024-09
ganhos,salário,7468.68,2024-10
ganhos,VR,759,2024-10
ganhos,salário,6647.46,2024-11
ganhos,VR,627,2024-11
ganhos extra,presente de natal Léo,700,2024-12
ganhos,13º Compass (proporcional março),5368.14,2024-12
ganhos,salário,7051.66,2024-12
ganhos,VR,763,2024-12
ganhos,salário (sem VR),8119.85,2025-01
ganhos,salário (sem VR),6855.53,2025-02
ganhos,salário (sem VR),8066.05,2025-03
ganhos,salário (sem VR),1176.27,2025-04
ganhos,salário (sem VR),7000,2025-05
ganhos,salário (sem VR),9000,2025-06
ganhos,salário (sem VR),9000,2025-07
ganhos,salário (sem VR),9000,2025-08
ganhos,salário (sem VR),9000,2025-09
ganhos,salário (sem VR),9000,2025-10
ganhos,salário (sem VR),9000,2025-11
ganhos,salário (sem VR),9000,2025-12
